nom,rayon,masse,periode_orbite,annee,distance
HAT-P-36 b,15.21061300,611.82275000,1.32734660000,2011,294.41900000
HAT-P-38 b,9.24700000,84.85700000,4.64038200000,2012,255.20600000
HAT-P-4 b,15.32270300,176.71348000,3.05651950000,2007,320.45100000
HAT-P-43 b,14.35872900,232.01590000,3.33268700000,2012,528.82500000
HAT-P-45 b,15.98403400,273.33380000,3.12899200000,2014,298.64000000
HAT-P-49 b,15.83800000,549.82300000,2.69154800000,2014,350.35100000
HAT-P-5 b,14.05608600,336.89980000,2.78849100000,2007,303.33600000
HAT-P-56 b,16.92559000,734.18730000,2.79083000000,2015,320.63900000
HAT-P-6 b,14.90797000,336.58197000,3.85298500000,2007,275.35800000
HAT-P-60 b,18.28184752,182.43350562,4.79478130000,2021,233.22000000
HAT-P-61 b,10.07687365,335.94462620,1.90231289000,2021,338.84000000
HAT-P-62 b,12.02723629,241.86741773,2.64532350000,2021,348.81500000
HAT-P-63 b,12.54284940,195.14664190,3.37772800000,2021,403.45800000
HAT-P-68 b,12.01604800,230.10892000,2.29840551000,2020,202.15200000
HAT-P-9 b,15.69260000,212.94610000,3.92289000000,2008,455.20300000
HATS-10 b,10.86152100,167.17858000,3.31284600000,2015,534.88900000
HATS-14 b,11.64615100,340.39593000,2.76676410000,2015,513.01100000
HATS-15 b,12.38594500,689.69110000,1.74748753000,2016,1139.55000000
HATS-18 b,14.89676100,629.14448500,0.83784000000,2016,624.36800000
HATS-24 b,16.66778300,775.50520000,1.34849540000,2017,494.18200000
HATS-3 b,15.47962900,340.39593000,3.54785100000,2013,411.21100000
HATS-35 b,16.40997600,388.38826000,1.82099930000,2016,514.55500000
HATS-36 b,13.84311500,1022.14128000,4.17523870000,2018,856.43600000
HATS-37 A b,6.79265400,31.46517000,4.33153660000,2020,211.89600000
HATS-44 b,11.96000300,177.98480000,2.74390040000,2018,446.03500000
HATS-47 b,12.52045300,117.27927000,3.92280380000,2020,300.67000000
HATS-50 b,12.66617000,123.95370000,3.82970150000,2017,756.74200000
HATS-54 b,11.96000300,241.55080000,2.54418280000,2019,748.58500000
